Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
Sombrilla,0.2683940827846527,0,0,610,430,1743650456.1045034
Sombrilla,0.33550384640693665,1,0,590,470,1743650456.1513765
Sombrilla,0.2902650535106659,8,0,638,479,1743650456.2012918
Gato,0.27498912811279297,0,0,371,425,1743650456.2477288
Gato,0.2638911306858063,156,13,639,479,1743650456.247854
Humano,0.2566996216773987,41,13,638,479,1743650456.2963939
Sombrilla,0.5170886516571045,5,0,635,474,1743650456.3434937
laptop,0.2797917127609253,6,1,638,479,1743650456.488745
laptop,0.2797917127609253,6,1,638,479,1743650456.5358436
laptop,0.2785854637622833,7,15,639,478,1743650456.919213
laptop,0.2785854637622833,7,15,639,478,1743650456.9650805
laptop,0.34022340178489685,31,2,639,480,1743650457.1745927
Gato,0.29521724581718445,162,1,639,479,1743650457.2232485
laptop,0.25420546531677246,35,4,640,477,1743650457.2233803
Humano,0.38970625400543213,28,1,635,475,1743650457.2711625
Gato,0.3876793682575226,201,0,639,479,1743650457.3169804
Gato,0.33665862679481506,220,1,639,478,1743650457.365614
Gato,0.33665862679481506,220,1,639,478,1743650457.413462
Sombrilla,0.2856380045413971,4,0,637,476,1743650457.4611418
tie,0.6984018087387085,207,124,371,348,1743650457.5089955
Humano,0.47425010800361633,3,0,637,479,1743650457.5091257
tie,0.6984018087387085,207,124,371,348,1743650457.5586948
Humano,0.47425010800361633,3,0,637,479,1743650457.5588152
laptop,0.2808131277561188,11,1,639,479,1743650457.6540136
laptop,0.2808131277561188,11,1,639,479,1743650457.7017734
laptop,0.3061026930809021,14,0,638,479,1743650457.7489727
Celular pedorro,0.41347888112068176,264,22,434,297,1743650458.0848563
Celular pedorro,0.41347888112068176,264,22,434,297,1743650458.1345594
Pantalla,0.3059350848197937,262,25,434,311,1743650458.1798415
Gato,0.2773984670639038,0,0,585,478,1743650458.2286785
Gato,0.2773984670639038,0,0,585,478,1743650458.2761192
Pantalla,0.3403075039386749,221,0,406,303,1743650458.804479
